Crime_ID,Crime_Type,Location,Latitude,Longitude,Date,Time,Area,Severity,Arrest_Made
CRM-00001,Fraud,Downtown,34.064717,-118.251717,2024-11-19,11:05,Commercial,Low,0
CRM-00002,Drug Offense,Parkside,34.096717,-118.216145,2025-11-14,06:29,Park,Medium,1
CRM-00003,Assault,Downtown,34.041521,-118.248662,2025-11-17,19:17,Nightclub District,High,0
CRM-00004,Assault,Parkside,34.090233,-118.199217,2024-06-29,03:45,Residential,High,0
CRM-00005,Burglary,Industrial District,34.010161,-118.221630,2026-01-19,12:38,Transit Station,Medium,1
CRM-00006,Theft,Westside,34.027543,-118.350716,2025-05-09,08:48,Residential,Low,0
CRM-00007,Robbery,Harbor Area,33.730816,-118.270426,2025-02-16,14:35,Industrial,High,0
CRM-00008,Theft,Suburbs,34.119448,-118.196496,2026-04-12,07:47,School Zone,High,0
CRM-00009,Fraud,Parkside,34.093595,-118.191865,2024-12-17,10:07,Park,Low,1
CRM-00010,Vandalism,Industrial District,34.025352,-118.233310,2025-04-19,17:01,Industrial,Low,0
CRM-00011,Fraud,Eastside,34.029189,-118.192262,2026-04-23,06:50,Commercial,Low,1
CRM-00012,Burglary,Uptown,34.082741,-118.289476,2025-04-29,04:07,Commercial,Medium,0
CRM-00013,Shoplifting,Downtown,34.049737,-118.239403,2024-03-24,18:15,Commercial,Low,1
CRM-00014,Assault,Westside,34.036956,-118.345818,2025-03-25,18:58,Transit Station,High,1
CRM-00015,Shoplifting,Parkside,34.087217,-118.183489,2024-01-14,04:14,Residential,Low,0
CRM-00016,Assault,Uptown,34.083824,-118.284435,2024-08-26,13:45,Park,Medium,0
CRM-00017,Theft,Industrial District,34.012016,-118.220252,2025-08-16,02:34,Transit Station,Medium,0
CRM-00018,Vandalism,Parkside,34.093434,-118.213598,2025-06-18,04:48,School Zone,Low,0
CRM-00019,Shoplifting,Eastside,34.032877,-118.193451,2025-02-15,15:13,Commercial,Low,1
CRM-00020,Burglary,Suburbs,34.127739,-118.182348,2026-04-24,10:24,Residential,Medium,0
CRM-00021,Shoplifting,Parkside,34.087086,-118.202922,2026-05-20,04:27,School Zone,Low,0
CRM-00022,Vandalism,Parkside,34.099055,-118.218387,2025-07-07,17:13,Park,Low,0
CRM-00023,Burglary,Uptown,34.066983,-118.288748,2025-11-16,05:26,Park,Medium,0
