Crime_ID,Crime_Type,Location,Latitude,Longitude,Date,Time,Area,Severity,Arrest_Made
1,POCSO Cases,Agra,27.1705,77.996801,04-04-2024,06:28:01,Bus Stand Area,4,Yes
2,Cyber Crime,Agra,27.202087,77.985492,25-09-2023,20:53:46,Railway Colony,4,Yes
3,Hurt,Agra,27.202695,77.985221,27-07-2023,13:34:52,Bus Stand Area,2,No
4,Drug Offenses,Agra,27.148032,77.99652,06-10-2023,09:55:34,City Center,4,No
5,Cheating,Agra,27.175761,77.980458,29-07-2023,17:31:52,New Township,3,No
6,Auto Theft,Agra,27.16291,78.028014,22-10-2024,20:23:23,City Center,3,No
7,Burglary,Agra,27.173264,77.97975,06-06-2023,07:39:09,Railway Colony,2,No
8,Drug Offenses,Ahmedabad,23.021907,72.584406,15-11-2024,02:36:23,Peripheral Zone,3,Yes
9,Auto Theft,Ahmedabad,23.027862,72.596413,23-04-2023,14:20:42,Peripheral Zone,2,No
10,Burglary,Ahmedabad,23.028164,72.547738,03-08-2024,08:30:35,Town Center,2,No
11,Riots,Ahmedabad,22.997324,72.562847,30-12-2024,17:55:51,Town Center,4,Yes
12,Cyber Crime,Ahmedabad,23.031806,72.549311,03-07-2024,07:09:15,Town Center,3,No
13,Theft,Ahmedabad,23.010332,72.59749,13-10-2023,20:20:30,Town Center,3,No
14,Drug Offenses,Ahmedabad,23.023054,72.563344,19-03-2024,20:02:53,Peripheral Zone,4,Yes
15,Sexual Harassment,Ahmedabad,22.993048,72.584583,08-09-2023,02:32:32,Municipal Area,4,No
16,Theft,Ahmedabad,23.04184,72.559767,24-06-2023,15:35:30,Town Center,2,No
17,Sexual Harassment,Ahmedabad,22.99612,72.556919,12-09-2024,20:41:45,Municipal Area,3,No
18,Criminal Breach of Trust,Ahmedabad,22.99359,72.56731,20-06-2024,20:14:18,Peripheral Zone,2,No
19,Criminal Breach of Trust,Ahmedabad,23.01401,72.572642,11-08-2024,05:52:51,Town Center,2,No
20,Arson,Ahmedabad,23.002304,72.558618,26-07-2024,19:13:45,Peripheral Zone,4,No
21,Drug Offenses,Ahmedabad,23.02783,72.567987,25-11-2023,17:26:30,Peripheral Zone,5,Yes
22,Gambling,Ahmedabad,23.011919,72.575174,13-12-2024,08:05:40,Town Center,1,No
23,Burglary,Ahmedabad,23.050903,72.584534,01-08-2023,05:06:54,Town Center,2,No
24,Drug Offenses,Ahmedabad,23.027287,72.595181,01-03-2023,14:24:06,Town Center,4,Yes
25,Counterfeiting,Ahmedabad,23.041136,72.594735,20-10-2024,21:07:27,Peripheral Zone,4,Yes
26,Cyber Crime,Ahmedabad,23.001046,72.599306,18-03-2024,16:43:27,Municipal Area,4,No
27,Cyber Crime,Ahmedabad,22.998565,72.55871,10-11-2024,13:57:42,Municipal Area,4,No
28,Sexual Harassment,Ahmedabad,23.039881,72.567588,22-11-2024,07:13:34,Town Center,4,Yes
29,Auto Theft,Ahmedabad,23.025075,72.588359,27-06-2024,19:54:02,Town Center,3,Yes
30,Arson,Ahmedabad,23.035523,72.582623,13-03-2024,01:49:19,Municipal Area,4,Yes
31,Cyber Crime,Ahmedabad,23.028627,72.581607,25-12-2023,13:54:38,Peripheral Zone,3,No
32,Criminal Breach of Trust,Ahmedabad,23.020082,72.559081,17-07-2024,01:20:01,Municipal Area,1,No
33,Theft,Ahmedabad,23.05035,72.548764,02-11-2024,10:35:31,Municipal Area,3,Yes
34,Auto Theft,Ahmedabad,23.013972,72.59685,27-08-2024,02:54:21,Peripheral Zone,2,No
35,Riots,Ahmedabad,23.007927,72.575403,24-09-2024,18:32:30,Municipal Area,3,No
